frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
360,6.0,16.614,259,858,116,368.0
361,6.016667,16.609,294,992,193,365.0
362,6.033333,16.593,292,947,147,362.0
363,6.05,16.574,329,1003,140,360.0
364,6.066667,16.571,325,1072,146,358.0
365,6.083333,16.563,326,1070,155,356.0
366,6.1,16.562,339,1062,151,356.0
367,6.116667,16.539,334,1108,153,355.0
368,6.133333,16.528,344,1043,138,355.0
369,6.15,16.512,345,1101,141,356.0
370,6.166667,16.509,333,1079,150,356.0
371,6.183333,16.512,322,1142,152,356.0
372,6.2,16.518,323,1094,157,356.0
373,6.216667,16.513,289,1114,167,358.0
374,6.233333,16.507,296,1081,162,360.0
375,6.25,16.514,294,1164,164,360.0
376,6.266667,16.518,284,1109,162,361.0
377,6.283333,16.522,297,1054,160,362.0
378,6.3,16.538,305,1039,160,362.0
379,6.316667,16.544,323,956,139,362.0
380,6.333333,16.545,348,915,159,364.0
381,6.35,16.559,343,924,184,364.0
382,6.366667,16.563,327,894,182,364.0
383,6.383333,16.57,308,902,153,364.0
384,6.4,16.573,276,911,155,364.0
385,6.416667,16.575,286,937,154,364.0
386,6.433333,16.583,280,947,153,364.0
387,6.45,16.58,318,874,152,364.0
388,6.466667,16.583,339,930,156,364.0
389,6.483333,16.596,346,929,174,364.0
390,6.5,16.585,305,956,178,364.0
391,6.516667,16.591,308,954,205,364.0
392,6.533333,16.589,320,953,160,363.0
393,6.55,16.585,365,901,150,362.0
394,6.566667,16.594,324,1021,205,362.0
395,6.583333,16.586,296,964,157,363.0
396,6.6,16.575,246,1052,204,366.0
397,6.616667,16.574,246,948,140,373.0
398,6.633333,16.568,242,854,141,378.0
399,6.65,16.556,287,812,132,384.0
400,6.666667,16.56,262,762,120,388.0
401,6.683333,16.551,277,682,119,394.0
402,6.7,16.539,273,600,117,402.0
403,6.716667,16.533,250,629,108,408.0
404,6.733333,16.533,240,660,128,416.0
405,6.75,16.524,245,542,67,423.0
406,6.766667,16.529,231,586,95,424.0
407,6.783333,16.534,208,543,93,430.0
408,6.8,16.535,223,506,58,432.0
409,6.816667,16.538,237,535,54,434.0
410,6.833333,16.548,235,536,50,436.0
411,6.85,16.556,228,532,44,440.0
412,6.866667,16.563,243,523,41,442.0
413,6.883333,16.571,236,505,42,444.0
414,6.9,16.569,219,505,42,446.0
415,6.916667,16.572,221,529,52,446.0
416,6.933333,16.582,192,511,44,448.0
417,6.95,16.583,221,456,41,448.0
418,6.966667,16.577,193,464,35,450.0
419,6.983333,16.58,193,456,35,450.0
420,7.0,16.611,215,461,34,450.0
